Time [s],Channel 5,Channel 6
15.595423200,1,0
15.620387680,0,0
15.620395680,0,1
15.645360640,0,0
15.645369280,1,0
15.670334560,0,0
15.670342400,0,1
15.695308320,0,0
15.695316960,1,0
15.720281440,0,0
15.720289280,0,1
15.745253600,0,0
15.745262080,1,0
15.770226720,0,0
15.770234880,0,1
15.795199200,0,0
15.795208000,1,0
15.820172800,0,0
15.820180800,0,1
15.845145440,0,0
15.845154080,1,0
15.870117920,0,0
15.870125920,0,1
15.895091520,0,0
15.895100160,1,0
15.920064320,0,0
15.920072480,0,1
15.945037440,0,0
15.945046080,1,0
15.970011040,0,0
15.970019200,0,1
15.994985440,0,0
15.994994080,1,0
16.019960160,0,0
16.019968160,0,1
16.044933760,0,0
16.044942560,1,0
16.069908160,0,0
16.069916160,0,1
16.094883200,0,0
16.094892000,1,0
16.119859040,0,0
16.119867040,0,1
16.136832000,0,0
16.161815680,0,1
16.169806720,0,0
16.169815360,1,0
16.194781120,0,0
16.194789120,0,1
16.219755200,0,0
16.219763840,1,0
16.244730080,0,0
16.244738080,0,1
16.269704960,0,0
16.269713440,1,0
16.294679840,0,0
16.294687840,0,1
16.319653280,0,0
16.319661760,1,0
16.344626880,0,0
16.344634720,0,1
16.369601760,0,0
16.369610400,1,0
16.394576960,0,0
16.394584960,0,1
16.419550880,0,0
16.419559520,1,0
16.444526400,0,0
16.444534240,0,1
16.469500800,0,0
16.469509440,1,0
16.494476320,0,0
16.494484320,0,1
16.519452480,0,0
16.519461120,1,0
16.544428640,0,0
16.544436480,0,1
16.569403520,0,0
16.569412000,1,0
16.594379520,0,0
16.594387360,0,1
16.619355520,0,0
16.619364160,1,0
16.644332320,0,0
16.644340160,0,1
16.669308000,0,0
16.669316480,1,0
16.694283840,0,0
16.694291840,0,1
16.719258080,0,0
16.719266560,1,0
16.744233280,0,0
16.744241120,0,1
16.769208320,0,0
16.769217120,1,0
16.794183520,0,0
16.794191680,0,1
16.819159200,0,0
16.819168000,1,0
16.844136480,0,0
16.844144480,0,1
16.869113120,0,0
16.869121920,1,0
16.894089280,0,0
16.894097280,0,1
16.919065600,0,0
16.919074240,1,0
16.944041440,0,0
16.944049600,0,1
16.969016960,0,0
16.969025600,1,0
16.993993120,0,0
16.994001280,0,1
17.018968960,0,0
17.018977760,1,0
17.043945440,0,0
17.043953440,0,1
17.068922080,0,0
17.068930880,1,0
17.093898400,0,0
17.093906560,0,1
17.118874560,0,0
17.118883200,1,0
17.135849120,0,0
17.160835680,1,0
17.168827200,0,0
17.168835200,0,1
17.193803040,0,0
17.193811680,1,0
17.218778400,0,0
17.218786400,0,1
17.243753600,0,0
17.243762400,1,0
17.268730400,0,0
17.268738400,0,1
17.293706400,0,0
17.293715040,1,0
17.318681920,0,0
17.318689920,0,1
17.343657760,0,0
17.343666400,1,0
17.368635360,0,0
17.368643520,0,1
17.393611360,0,0
17.393620160,1,0
17.418588160,0,0
17.418596320,0,1
17.443564160,0,0
17.443572800,1,0
17.468539680,0,0
17.468547680,0,1
17.493515520,0,0
17.493524160,1,0
17.518491840,0,0
17.518499840,0,1
17.543467520,0,0
17.543476320,1,0
17.568442720,0,0
17.568450720,0,1
17.593416320,0,0
17.593424960,1,0
17.618391200,0,0
17.618399360,0,1
17.643366560,0,0
17.643375360,1,0
17.668342080,0,0
17.668350240,0,1
17.693319040,0,0
17.693327680,1,0
17.718294720,0,0
17.718302720,0,1
17.743269760,0,0
17.743278560,1,0
17.768245920,0,0
17.768253920,0,1
17.793222240,0,0
17.793230880,1,0
17.818199680,0,0
17.818207680,0,1
17.843176160,0,0
17.843184960,1,0
17.868152800,0,0
17.868160800,0,1
17.893129600,0,0
17.893138240,1,0
17.918105760,0,0
17.918113760,0,1
17.943081120,0,0
17.943089760,1,0
17.968056160,0,0
17.968064320,0,1
17.993030880,0,0
17.993039520,1,0
18.018005440,0,0
18.018013440,0,1
18.042978880,0,0
18.042987520,1,0
18.067954240,0,0
18.067962400,0,1
18.092928960,0,0
18.092937760,1,0
18.117905120,0,0
18.117913280,0,1
18.134878720,0,0
18.159864000,0,1
18.167855040,0,0
18.167863680,1,0
18.192830240,0,0
18.192838400,0,1
18.217804960,0,0
18.217813760,1,0
18.242779360,0,0
18.242787360,0,1
18.267753120,0,0
18.267761920,1,0
18.292726720,0,0
18.292734720,0,1
18.317700160,0,0
18.317708800,1,0
18.342673600,0,0
18.342681600,0,1
18.367646720,0,0
18.367655200,1,0
18.392620000,0,0
18.392628000,0,1
18.417592000,0,0
18.417600640,1,0
18.442565760,0,0
18.442573760,0,1
18.467539520,0,0
18.467548000,1,0
18.492514720,0,0
18.492522560,0,1
18.517488160,0,0
18.517496640,1,0
18.542462400,0,0
18.542470240,0,1
18.567436480,0,0
18.567444960,1,0
18.592411680,0,0
18.592419520,0,1
18.617385760,0,0
18.617394400,1,0
18.642360800,0,0
18.642368640,0,1
18.667335360,0,0
18.667343840,1,0
18.692308160,0,0
18.692316000,0,1
18.717281600,0,0
18.717290080,1,0
18.742256160,0,0
18.742264000,0,1
18.767228960,0,0
18.767237440,1,0
18.792203520,0,0
18.792211680,0,1
18.817178880,0,0
18.817187520,1,0
18.842155040,0,0
18.842163040,0,1
18.867130560,0,0
18.867139360,1,0
18.892106720,0,0
18.892114880,0,1
18.917082560,0,0
18.917091200,1,0
18.942057600,0,0
18.942065760,0,1
18.967031520,0,0
18.967040160,1,0
18.992007200,0,0
18.992015200,0,1
19.016980320,0,0
19.016989120,1,0
19.041953280,0,0
19.041961280,0,1
19.066925440,0,0
19.066934080,1,0
19.091898400,0,0
19.091906400,0,1
19.116871360,0,0
19.116880160,1,0
19.133844640,0,0
19.158829280,1,0
19.166819360,0,0
19.166827520,0,1
19.191793760,0,0
19.191802400,1,0
19.216766560,0,0
19.216774560,0,1
19.241739680,0,0
19.241748320,1,0
19.266713440,0,0
19.266721440,0,1
19.291687040,0,0
19.291695680,1,0
19.316660160,0,0
19.316668320,0,1
19.341633760,0,0
19.341642560,1,0
19.366607200,0,0
19.366615360,0,1
19.391580160,0,0
19.391588960,1,0
19.416553280,0,0
19.416561440,0,1
19.441525280,0,0
19.441534080,1,0
19.466497920,0,0
19.466505920,0,1
19.491470240,0,0
19.491478880,1,0
19.516444160,0,0
19.516452320,0,1
19.541417440,0,0
19.541426240,1,0
19.566391680,0,0
19.566399840,0,1
19.591366080,0,0
19.591374880,1,0
19.616339520,0,0
19.616347520,0,1
19.641311200,0,0
19.641320000,1,0
19.666284480,0,0
19.666292640,0,1
19.691257440,0,0
19.691266080,1,0
19.716231360,0,0
19.716239360,0,1
19.741205120,0,0
19.741213920,1,0
19.766178560,0,0
19.766186560,0,1
19.791152480,0,0
19.791161280,1,0
19.816125920,0,0
19.816134080,0,1
19.841098720,0,0
19.841107520,1,0
19.866071200,0,0
19.866079200,0,1
19.891044000,0,0
19.891052640,1,0
19.916016800,0,0
19.916024960,0,1
19.940989440,0,0
19.940998240,1,0
19.965962400,0,0
19.965970560,0,1
19.990935040,0,0
19.990943680,1,0
20.015908320,0,0
20.015916320,0,1
20.040880480,0,0
20.040889120,1,0
20.065852800,0,0
20.065860800,0,1
20.090824960,0,0
20.090833760,1,0
20.115797440,0,0
20.115805440,0,1
20.138763840,0,0
20.163748320,0,1
20.165745120,0,0
20.165753760,1,0
20.190719040,0,0
20.190727040,0,1
20.215691840,0,0
20.215700480,1,0
20.240666560,0,0
20.240674560,0,1
20.265640800,0,0
20.265649440,1,0
20.290615200,0,0
20.290623200,0,1
20.315587680,0,0
20.315596320,1,0
20.340561440,0,0
20.340569440,0,1
20.365534240,0,0
20.365542720,1,0
20.390507840,0,0
20.390515680,0,1
20.415480160,0,0
20.415488800,1,0
20.440452960,0,0
20.440460800,0,1
20.465424800,0,0
20.465433280,1,0
20.490396960,0,0
20.490404960,0,1
20.515369120,0,0
20.515377600,1,0
20.540340960,0,0
20.540348960,0,1
20.565312800,0,0
20.565321280,1,0
20.590284160,0,0
20.590292160,0,1
20.615255680,0,0
20.615264320,1,0
20.640227680,0,0
20.640235680,0,1
20.665199040,0,0
20.665207520,1,0
20.690172160,0,0
20.690180000,0,1
20.715143680,0,0
20.715152160,1,0
20.740116160,0,0
20.740124000,0,1
20.765088800,0,0
20.765097440,1,0
20.790064000,0,0
20.790072000,0,1
20.815041120,0,0
20.815049760,1,0
20.840019040,0,0
20.840027200,0,1
20.864991360,0,0
20.865000160,1,0
20.889970880,0,0
20.889978880,0,1
20.914948960,0,0
20.914957760,1,0
20.939926400,0,0
20.939934400,0,1
20.964893600,0,0
20.964902400,1,0
20.989869280,0,0
20.989877280,0,1
21.014843840,0,0
21.014852640,1,0
21.039820160,0,0
21.039828320,0,1
21.064797280,0,0
21.064805920,1,0
21.089773120,0,0
21.089781120,0,1
21.114748320,0,0
21.114757120,1,0
21.138216160,0,0
21.163202240,1,0
21.164699360,0,0
21.164707360,0,1
21.189674400,0,0
21.189683200,1,0
21.214651040,0,0
21.214659200,0,1
21.239626400,0,0
21.239635040,1,0
21.264601920,0,0
21.264609920,0,1
21.289576800,0,0
21.289585440,1,0
21.314552480,0,0
21.314560320,0,1
21.339525760,0,0
21.339534240,1,0
21.364498400,0,0
21.364506240,0,1
21.389471840,0,0
21.389480480,1,0
21.414445920,0,0
21.414453920,0,1
21.439419040,0,0
21.439427520,1,0
21.464392800,0,0
21.464400800,0,1
21.489365600,0,0
21.489374080,1,0
21.514339840,0,0
21.514347840,0,1
21.539312640,0,0
21.539321280,1,0
21.564285600,0,0
21.564293440,0,1
21.589258880,0,0
21.589267360,1,0
21.614232800,0,0
21.614240800,0,1
21.639205600,0,0
21.639214080,1,0
21.664179200,0,0
21.664187200,0,1
21.689152640,0,0
21.689161120,1,0
21.714127040,0,0
21.714134880,0,1
21.739101280,0,0
21.739109760,1,0
21.764075200,0,0
21.764083040,0,1
21.789048320,0,0
21.789056960,1,0
21.814023040,0,0
21.814031040,0,1
21.838996640,0,0
21.839005440,1,0
21.863971200,0,0
21.863979200,0,1
21.888944000,0,0
21.888952640,1,0
21.913918080,0,0
21.913926080,0,1
21.938890880,0,0
21.938899680,1,0
21.963864640,0,0
21.963872640,0,1
21.988838400,0,0
21.988847040,1,0
22.013812320,0,0
22.013820480,0,1
22.038787360,0,0
22.038796160,1,0
22.063762560,0,0
22.063770720,0,1
22.088736320,0,0
22.088745120,1,0
22.113709600,0,0
22.113717600,0,1
22.137175040,0,0
22.162157760,0,1
22.163654720,0,0
22.163663520,1,0
22.188627840,0,0
22.188635840,0,1
22.213599840,0,0
22.213608640,1,0
22.238573280,0,0
22.238581280,0,1
22.263545440,0,0
22.263554240,1,0
22.288518560,0,0
22.288526720,0,1
22.313491040,0,0
22.313499840,1,0
22.338463840,0,0
22.338471840,0,1
22.363435360,0,0
22.363444000,1,0
22.388406880,0,0
22.388414880,0,1
22.413378720,0,0
22.413387360,1,0
22.438351520,0,0
22.438359360,0,1
22.463324160,0,0
22.463332640,1,0
22.488296320,0,0
22.488304320,0,1
22.513268640,0,0
22.513277120,1,0
22.538240800,0,0
22.538248800,0,1
22.563212160,0,0
22.563220640,1,0
22.588184800,0,0
22.588192800,0,1
22.613156960,0,0
22.613165440,1,0
22.638128800,0,0
22.638136800,0,1
22.663101440,0,0
22.663109920,1,0
22.688075200,0,0
22.688083040,0,1
22.713048320,0,0
22.713056800,1,0
22.738021120,0,0
22.738028960,0,1
22.762993280,0,0
22.763001760,1,0
22.787965760,0,0
22.787973760,0,1
22.812936320,0,0
22.812944960,1,0
22.837909600,0,0
22.837917600,0,1
22.862882880,0,0
22.862891520,1,0
22.887857280,0,0
22.887865280,0,1
22.912830400,0,0
22.912839200,1,0
22.937804800,0,0
22.937812800,0,1
22.962778720,0,0
22.962787520,1,0
22.987754240,0,0
22.987762240,0,1
23.012727200,0,0
23.012736000,1,0
23.037700800,0,0
23.037708800,0,1
23.062674880,0,0
23.062683680,1,0
23.087650080,0,0
23.087658080,0,1
23.112624000,0,0
23.112632800,1,0
23.136090400,0,0
23.161074240,1,0
23.162571360,0,0
23.162579360,0,1
23.187545600,0,0
23.187554400,1,0
23.212520320,0,0
23.212528320,0,1
23.237496640,0,0
23.237505440,1,0
23.262472960,0,0
23.262480960,0,1
23.287448160,0,0
23.287456960,1,0
23.312423520,0,0
23.312431680,0,1
23.337397600,0,0
23.337406080,1,0
23.362370720,0,0
